Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,RCOSC_50MHZ
COREFFT_0/genblk1.DUT_INPLACE/Primitives,0,50,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/autoScale_0/Primitives,7,3,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/autoScale_0/edge_detect_0/Primitives,1,1,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/Primitives,128,64,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/cmplx_0/genblk1.cmplx18_0/half_0/genblk1.dly_c/Primitives,0,16,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/cmplx_0/genblk1.cmplx18_0/half_0/genblk1.dly_d/Primitives,0,16,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/cmplx_0/genblk1.cmplx18_0/half_0/mx_0/g4_macc.macc_0/Primitives,0,0,72,72,0,0,2,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/cmplx_0/genblk1.cmplx18_0/half_1/genblk1.dly_c/Primitives,0,16,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/cmplx_0/genblk1.cmplx18_0/half_1/mx_0/g4_macc.macc_0/Primitives,0,0,72,72,0,0,2,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/cmplx_0/rndHi_0/Primitives,17,16,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/cmplx_0/rndHr_0/Primitives,17,16,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/ctrl_dly_0/Primitives,0,10,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/inPi_dly_0/Primitives,0,64,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/bfly_0/inPr_dly_0/Primitives,0,64,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/genblk1.outBuff_0/Primitives,32,106,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/genblk1.outBuff_0/outBuf_0/SmFu4_sram.smGen_RAM_0/Primitives,0,0,36,36,0,1,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/genblk1.outBuff_0/outBuf_1/SmFu4_sram.smGen_RAM_0/Primitives,0,0,36,36,0,1,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/inBuf_0/Primitives,64,0,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/inBuf_0/genblk1.piBuf/Primitives,73,10,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/inBuf_0/genblk1.piBuf/genblk1.memP/SmFu4_sram.smGen_RAM_0/Primitives,0,0,36,36,0,1,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/inBuf_0/genblk1.piBuf/genblk1.memQ/SmFu4_sram.smGen_RAM_0/Primitives,0,0,36,36,0,1,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/inBuf_0/genblk1.poBuf/Primitives,73,10,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/inBuf_0/genblk1.poBuf/genblk1.memP/SmFu4_sram.smGen_RAM_0/Primitives,0,0,36,36,0,1,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/inBuf_0/genblk1.poBuf/genblk1.memQ/SmFu4_sram.smGen_RAM_0/Primitives,0,0,36,36,0,1,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/lut_0/Primitives,278,0,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/postBflySw_0/Primitives,64,128,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/preBflySw_0/Primitives,64,130,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/slowClock_0/Primitives,4,3,0,0,0,0,0,0,1,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/Primitives,31,15,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/inBuf_ldA_0/Primitives,4,2,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/inBuf_ldA_0/ldCount/Primitives,22,9,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/inBuf_rA_0/Primitives,32,49,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/inBuf_wA_0/Primitives,32,48,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/init_rear_0/Primitives,1,1,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/outBufA_0/Primitives,3,9,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/outBufA_0/bit_dly_0/Primitives,3,3,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/outBufA_0/bit_dly_2/Primitives,1,1,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/outBufA_0/outBuf_rA_0/Primitives,22,9,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/pre2_sync_rw_0/Primitives,0,1,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rStage_dly2/Primitives,0,6,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rTimer_dly2/Primitives,0,14,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rdFFTtimer_0/Primitives,12,6,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rdFFTtimer_0/bit_dly_0/Primitives,0,3,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rdFFTtimer_0/bit_dly_2/Primitives,2,2,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rdFFTtimer_0/bit_dly_3/Primitives,2,2,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rdFFTtimer_0/bit_dly_4/Primitives,2,2,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rdFFTtimer_0/bit_dly_5/Primitives,2,2,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rdFFTtimer_0/rA_timer/Primitives,27,12,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rdFFTtimer_0/stage_timer/Primitives,11,6,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rdFFTtimer_0/startFFT_dly_0/Primitives,1,2,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/rw_dly_lastStage/Primitives,9,10,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/startFFT_g4_dly_0/Primitives,0,2,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/sync_rw_1/Primitives,0,2,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/twid_rA_0/Primitives,18,20,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/twid_wA_0/Primitives,5,3,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/twid_wA_0/ngrst2rst_0/Primitives,1,2,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/twid_wA_0/ngrst2rst_0/sync_ngrst_0/Primitives,0,4,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/twid_wA_0/slowTimer/Primitives,8,7,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/sm_0/wTimer_0/Primitives,8,7,0,0,0,0,0,0,0,0
