pin,slack
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/ddr_settled:ALn,17898
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/ddr_settled:CLK,5025
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/ddr_settled:Q,5025
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_23:IPENn,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll1_RNO:A,7895
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll1_RNO:B,6786
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll1_RNO:C,7779
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTll1_RNO:Y,6786
line_write_read_0/WRITE_LSRAM_0/s_h_counter[9]:ALn,
line_write_read_0/WRITE_LSRAM_0/s_h_counter[9]:CLK,4753
line_write_read_0/WRITE_LSRAM_0/s_h_counter[9]:D,4535
line_write_read_0/WRITE_LSRAM_0/s_h_counter[9]:EN,6756
line_write_read_0/WRITE_LSRAM_0/s_h_counter[9]:Q,4753
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTl10l.CUARTll1_4_0_a3:A,7911
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTl10l.CUARTll1_4_0_a3:B,7889
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTIO1/CUARTl10l.CUARTll1_4_0_a3:Y,7889
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_17:B,6501
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_17:D,6479
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_17:IPB,6501
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_17:IPC,
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_17:IPD,6479
UART_interface_0/receive_data_0/state[8]:ALn,6376
UART_interface_0/receive_data_0/state[8]:CLK,5969
UART_interface_0/receive_data_0/state[8]:D,8850
UART_interface_0/receive_data_0/state[8]:EN,8609
UART_interface_0/receive_data_0/state[8]:Q,5969
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C5/FF_5:IPENn,
line_write_read_0/xy_display_1/WPOINTS_0/s_state[4]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/s_state[4]:CLK,1621
line_write_read_0/xy_display_1/WPOINTS_0/s_state[4]:D,821
line_write_read_0/xy_display_1/WPOINTS_0/s_state[4]:Q,1621
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C0/CFG_32:C,8721
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C0/CFG_32:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C0/CFG_32:IPC,8721
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_11:IPB,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_36:IPA,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C5/CFG_5:C,8257
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C5/CFG_5:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C5/CFG_5:IPC,8257
line_write_read_0/Image_Enhancement_0/s_ram_addr_dly[5]:ALn,
line_write_read_0/Image_Enhancement_0/s_ram_addr_dly[5]:CLK,4694
line_write_read_0/Image_Enhancement_0/s_ram_addr_dly[5]:D,8856
line_write_read_0/Image_Enhancement_0/s_ram_addr_dly[5]:Q,4694
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C2/CFG_19:C,8722
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C2/CFG_19:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C2/CFG_19:IPC,8722
