
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. IGL2_FIR_FILTER, 4095, 4945, 558, 0, 20, 12, 0, 7, 9
.	. DATA_HANDLE, 140, 182, 44, 0, 0, 0, 0, 0, 0
.	.	. DATA_HANDLE_COREUART_0_COREUART_0s_0s_0s_19s_0s_0s, 79, 181, 13, 0, 0, 0, 0, 0, 0
.	.	.	. DATA_HANDLE_COREUART_0_Clock_gen_0s_0s, 19, 17, 13, 0, 0, 0, 0, 0, 0
.	.	.	. DATA_HANDLE_COREUART_0_Rx_async_0s_0s_0s_1s_2s_3s, 32, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DATA_HANDLE_COREUART_0_Tx_async_0s_0s_0s_1s_2s_3s_4s_5s_6s, 19, 119, 0, 0, 0, 0, 0, 0, 0
.	.	. UART_IF, 61, 1, 31, 0, 0, 0, 0, 0, 0
.	. FF, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. FILTERCONTROL_FSM, 32, 27, 20, 0, 0, 0, 0, 0, 0
.	. IGL2_FIR_FILTER_COREFFT_0_COREFFT_Z1, 1005, 886, 196, 0, 4, 7, 0, 1, 0
.	.	. IGL2_FIR_FILTER_COREFFT_0_COREFFT_INPLC_Z2, 1005, 886, 196, 0, 4, 7, 0, 1, 0
.	.	.	. IGL2_FIR_FILTER_COREFFT_0_inPlace_8_32s_1s_0s_19s, 20, 210, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_inBuffer_8_32s_1s_0s_19s, 10, 73, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_wrapRam_8_32s_19s_0s_128s_1s, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_ram_smGen, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_wrapRam_8_32s_19s_0s_128s_1s_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_ram_smGen_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_inBuffer_8_32s_1s_0s_19s_0, 10, 73, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_wrapRam_8_32s_19s_0s_128s_1s_1, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_ram_smGen_1, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_wrapRam_8_32s_19s_0s_128s_1s_3, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_ram_smGen_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. IGL2_FIR_FILTER_COREFFT_0_outBuff_8_32s_0s_19s, 106, 32, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_wrapRam_8_32s_19s_0s_128s_1s_4, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_ram_smGen_4, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_wrapRam_8_32s_19s_0s_128s_1s_5, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_ram_smGen_5, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. IGL2_FIR_FILTER_COREFFT_0_twidLUT_8_32s_0s_19s, 7, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_wrapRam_8_32s_19s_0s_128s_1s_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. IGL2_FIR_FILTER_COREFFT_0_ram_smGen_3, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. IGL2_FIR_FILTER_COREFFT_0_twiddle_32s_8, 0, 236, 42, 0, 0, 0, 0, 0, 0
.	.	.	. fft_inpl_autoScale_0s_0s_4_1s, 4, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. fft_inpl_kitEdge_0s_1, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. fft_inpl_bfly2_16s_16s_32s_32s_3s_19s, 282, 64, 98, 0, 4, 0, 0, 0, 0
.	.	.	.	. fft_inpl_cmplx_rnd_16s_0s_19s_1s_44s, 80, 0, 34, 0, 4, 0, 0, 0, 0
.	.	.	.	.	. fft_inpl_cmplx_18_16s_0s_19s_44s, 48, 0, 0, 0, 4, 0, 0, 0, 0
.	.	.	.	.	.	. fft_inpl_half_cmplx_18_16s_0s_0s_19s_44s_0_0s, 16, 0, 0, 0, 2, 0, 0, 0, 0
.	.	.	.	.	.	.	. fft_inpl_kitDelay_reg_16s_1s_1, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. fft_inpl_mac18x18mx_16s_16s_0s_0s_0s_19s_0_0_0_44s_1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	. fft_inpl_mac18x18mx_16s_16s_0s_0s_0s_19s_0_0_0_44s_2, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	. fft_inpl_half_cmplx_18_16s_1s_0s_19s_44s_1_0s, 32, 0, 0, 0, 2, 0, 0, 0, 0
.	.	.	.	.	.	.	. fft_inpl_kitDelay_reg_16s_1s, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. fft_inpl_kitDelay_reg_16s_1s_0, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. fft_inpl_mac18x18mx_16s_16s_0s_0s_0s_19s_0_0_0_44s, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	. fft_inpl_mac18x18mx_16s_16s_0s_0s_0s_19s_0_0_0_44s_0, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	. fft_inpl_kitRndUp_16s_1s, 16, 0, 17, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. fft_inpl_kitRndUp_16s_1s_0, 16, 0, 17, 0, 0, 0, 0, 0, 0
.	.	.	.	. fft_inpl_kitDelay_reg_16s_4s, 64, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. fft_inpl_kitDelay_reg_16s_4s_0, 64, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. fft_inpl_kitDelay_reg_2s_5s, 10, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. fft_inpl_slowClock, 3, 4, 0, 0, 0, 0, 0, 1, 0
.	.	.	. fft_inpl_sm_top_256s_128s_8_3_10s_1s, 275, 204, 56, 0, 0, 0, 0, 0, 0
.	.	.	.	. fft_inpl_inBuf_fftA_pipe_8_3_0, 48, 25, 7, 0, 0, 0, 0, 0, 0
.	.	.	.	. fft_inpl_inBuf_fftA_pipe_8_3_1, 49, 25, 7, 0, 0, 0, 0, 0, 0
.	.	.	.	. fft_inpl_inBuf_ldA_256s_8, 11, 18, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. fft_inpl_counter_8_255s, 9, 14, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. fft_inpl_kitCountS_7_127s_0s, 7, 0, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. fft_inpl_kitDelay_bit_reg_1s_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
